timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 2, 2026 @ 09:19:08.048","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.023","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.023","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.014","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.014","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.014","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.998","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.989","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.989","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.989","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.973","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.964","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.964","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.948","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.948","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.937","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.937","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.937","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.078","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.053","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.044","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.044","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.044","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.027","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.027","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.017","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.017","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.002","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.994","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.994","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
